created_at,text
2018-12-19 23:58:00,b'RT @pzerger: RT @ExpertsLiveUS: Join Microsoft architect Jim Reid and learn how to leverage the cloud for your hybr\xe2\x80\xa6 https://t.co/fmeBufrC8G'
2018-12-19 23:58:00,"b'Microsoft Teams offers the most simple, effective way to communicate with people both inside and outside of your or\xe2\x80\xa6 https://t.co/DpyaU6i2dE'"
2018-12-19 23:58:00,b'The holiday commercial for Microsoft makes me choke up every time'
2018-12-19 23:57:58,"b'@MicrosoftStore will you guys be releasing the microsoft surface headphones in Canada? If so, when?'"
2018-12-19 23:57:51,"b""RT @Buffalojill3000: @Google @googlechrome @GooglePlay @Microsoft I love my #GooglePixel3 the Best purchase I've ever made for myself."""
2018-12-19 23:57:46,b'RT @briankrebs: Microsoft has just released an emergency (unscheduled) patch to fix a zero-day security hole in Internet Explorer https://t\xe2\x80\xa6'
2018-12-19 23:57:44,"b'The first wireless #XboxOne keyboard and mouse, from #Razer, is on the way https://t.co/vTzaxvvgrG https://t.co/RYiCA7WE9k'"
2018-12-19 23:57:38,"b""@wildponies_ @JaoGiggs47 The anaconda between microsoft's legs that xtards love to swallow \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82"""
2018-12-19 23:57:36,"b""@chrisoncode Typically use MySQL but on the project I'm trying to upgrade some parts of the app rely on a read-only Microsoft SQL database."""
2018-12-19 23:57:29,b'RT @campuscodi: Microsoft Edge engineer describes how Google sabotaged Edge browser performance via constant code changes to its services.\xe2\x80\xa6'
2018-12-19 23:57:22,b'RT @tfsbuck: Private preview of security tools we use at Microsoft - use in Azure DevOps Pipelines (build/release): https://t.co/uNiK9LkZxK\xe2\x80\xa6'
2018-12-19 23:57:19,"b'NEW Microsoft #Xbox One S 1TB Minecraft Creators Bundle, White, NEW UNOPENED #eBay\n\xe2\x8f\xb0 Ends in 3h\n\xf0\x9f\x92\xb2 Last Price USD 19\xe2\x80\xa6 https://t.co/gPIGVmN2tw'"
2018-12-19 23:57:15,b'A Deep Analysis of the Microsoft Outlook Vulnerability CVE-2018-8587\n\nhttps://t.co/90hG6RvV77'
2018-12-19 23:57:14,b'Some useful #MicrosoftOffice #info: https://t.co/Nze6vGpDmN'
2018-12-19 23:57:11,b'RT @Azure: Get discounted rates on #Azure to support your ongoing development and testing: https://t.co/f9QfMY9JoW'
2018-12-19 23:57:10,"b'RT @gerrardnum8: The winner of mine &amp; @8thGen_Gaming Crayola Scoot #XboxOne code #giveaway is...... @BoTown_Sports   Congrats, check your D\xe2\x80\xa6'"
2018-12-19 23:57:06,"b""@Google @googlechrome @GooglePlay @Microsoft I love my #GooglePixel3 the Best purchase I've ever made for myself."""
2018-12-19 23:57:03,b'MS #PowerApps Blog Update. -&gt; PowerApps Canvas App Coding Standards and Guidelines https://t.co/nn7DG8prgM'
2018-12-19 23:57:01,b'We are pleased to announce that the December release of the #Python Extension for #VSCode is now available! The new\xe2\x80\xa6 https://t.co/q5nBF85Lwi'
2018-12-19 23:56:59,b'RT @MicrosoftFlow: Introducing the new Flow tab in Teams and new Teams triggers: https://t.co/QNpYwzYG7U'
2018-12-19 23:56:38,"b'In a digital world, we need digital peace. Together, we can #BeTheGeneration to #STOPCYBERWARFARE. Learn how and si\xe2\x80\xa6 https://t.co/GwAdchMlse'"
2018-12-19 23:56:37,b'RT @PhyllisLevy1: @facebook @twitter  @Google @Yahoo  @Microsoft  @FBI  @DOJ  @WisDOJ  and accounts to discredit...@MarkZuckerfuck  @jeffse\xe2\x80\xa6'
2018-12-19 23:56:34,b'#Facebook granted @Spotify &amp; @netflix access to its users\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbdprivate\xf0\x9f\x91\x88\xf0\x9f\x8f\xbc Facebook messages &amp; @Microsoft @Sony +\xe2\x80\xa6 https://t.co/1S5UWNqs10'
2018-12-19 23:56:33,b'RT @StuLumpkins: Going LIVE on #Twitch to play #PUBG\n\nhttps://t.co/bBV1SPE5Jo\n\n#SupportSmallStreamers\xe2\x80\xa6 https://t.co/HZuMoA63bg'
2018-12-19 23:56:32,"b'RT @Razer: Built for couch and desktop gaming, we\xe2\x80\x99ve teamed up with @Microsoft to bring you the all-new Razer Turret for @Xbox One\xe2\x80\x94the worl\xe2\x80\xa6'"
